Passwords of Westeros
A Game of Thrones-inspired Wordlist
This wordlist was created by identifying the unique words in some of the most popular user-created pages at FANDOM's gameofthrones.wikia.com. They are numbered to correspond with three roles of a 20-sided die. 
The list was created by the Electronic Frontier Foundation and maybe freely distributed use under the Creative Commons Attribution 3.0 United States license.
Any trademarks within the word list are the property of their respective trademark holders, who are not affiliated with the Electronic Frontier Foundation and do not sponsor or endorse these passwords.
1-1-1 limited
1-1-2 pardon
1-1-3 hordes
1-1-4 waymar
1-1-5 doubts
1-1-6 suspenseful
1-1-7 dynasty
1-1-8 four
1-1-9 woods
1-1-10 sleep
1-1-11 tenuous
1-1-12 hanging
1-1-13 mansion
1-1-14 captain
1-1-15 integrity
1-1-16 assembled
1-1-17 vassals
1-1-18 marching
1-1-19 relationships
1-1-20 whose
1-2-1 votes
1-2-2 feeding
1-2-3 sigils
1-2-4 presents
1-2-5 fingernails
1-2-6 invaders
1-2-7 according
1-2-8 under
1-2-9 lord
1-2-10 sorry
1-2-11 pride
1-2-12 worth
1-2-13 merchant
1-2-14 ale
1-2-15 rescue
1-2-16 downstream
1-2-17 rise
1-2-18 every
1-2-19 should
1-2-20 placates
1-3-1 stabbed
1-3-2 bringing
1-3-3 excited
1-3-4 vast
1-3-5 bewildered
1-3-6 baking
1-3-7 called
1-3-8 skills
1-3-9 supports
1-3-10 clings
1-3-11 glovers
1-3-12 red
1-3-13 succession
1-3-14 heading
1-3-15 clothes
1-3-16 dwindled
1-3-17 willas
1-3-18 force
1-3-19 leaders
1-3-20 eagle
1-4-1 warns
1-4-2 weddings
1-4-3 direct
1-4-4 horn
1-4-5 sheep-shifting
1-4-6 consists
1-4-7 second
1-4-8 street
1-4-9 ramp
1-4-10 dwindles
1-4-11 consenting
1-4-12 arms
1-4-13 shining
1-4-14 blue
1-4-15 dragonstone
1-4-16 halfhand
1-4-17 wreck
1-4-18 thunder
1-4-19 ned
1-4-20 commemorating
1-5-1 poison
1-5-2 lights
1-5-3 undaunted
1-5-4 causes
1-5-5 above
1-5-6 supplies
1-5-7 quietly
1-5-8 officially
1-5-9 consisting
1-5-10 told
1-5-11 hero
1-5-12 screams
1-5-13 muzzle
1-5-14 jubilantly
1-5-15 undressing
1-5-16 men
1-5-17 here
1-5-18 hundreds
1-5-19 met
1-5-20 osha
1-6-1 pursuit
1-6-2 kissing
1-6-3 hers
