Accio Passphrase! 
A Harry Potter-inspired Wordlist
This wordlist was created by identifying the unique words in some of the most popular user-created pages at FANDOM’s harrypotter.wikia.com. They are numbered to correspond with three roles of a 20-sided die. 
The list was created by the Electronic Frontier Foundation and maybe freely distributed use under the Creative Commons Attribution 3.0 United States license.
Any trademarks within the word list are the property of their respective trademark holders, who are not affiliated with the Electronic Frontier Foundation and do not sponsor or endorse these passwords.
1-1-1 aided
1-1-2 raining
1-1-3 horses
1-1-4 fawn
1-1-5 recreate
1-1-6 copy
1-1-7 personally
1-1-8 yellow
1-1-9 chaos
1-1-10 four
1-1-11 ease
1-1-12 protest
1-1-13 pure-bloods
1-1-14 sleep
1-1-15 spiders
1-1-16 hating
1-1-17 conjuring
1-1-18 undersecretary
1-1-19 captain
1-1-20 hate
1-2-1 assembled
1-2-2 skeleton
1-2-3 disgust
1-2-4 whose
1-2-5 ceases
1-2-6 eligible
1-2-7 basement
1-2-8 spew
1-2-9 scold
1-2-10 wingardium
1-2-11 wizardry
1-2-12 specialising
1-2-13 presents
1-2-14 neighbours
1-2-15 bike
1-2-16 voted
1-2-17 under
1-2-18 filius
1-2-19 teaching
1-2-20 pride
1-3-1 sway
1-3-2 worth
1-3-3 consumed
1-3-4 shoes
1-3-5 figg
1-3-6 lure
1-3-7 saves
1-3-8 risk
1-3-9 co-operation
1-3-10 beedle
1-3-11 rise
1-3-12 sufficient
1-3-13 differently
1-3-14 song
1-3-15 merope
1-3-16 fidelius
1-3-17 every
1-3-18 jack
1-3-19 talons
1-3-20 annihilate
1-4-1 overcomes
1-4-2 affect
1-4-3 seals
1-4-4 bringing
1-4-5 vast
1-4-6 imperiused
1-4-7 tickets
1-4-8 believed
1-4-9 school
1-4-10 basics
1-4-11 pince
1-4-12 prize
1-4-13 skills
1-4-14 pinch
1-4-15 sturgis
1-4-16 storming
1-4-17 herbert
1-4-18 solid
1-4-19 woods
1-4-20 announced
1-5-1 murders
1-5-2 heading
1-5-3 clothes
1-5-4 enjoy
1-5-5 force
1-5-6 rebuilding
1-5-7 awake
1-5-8 warns
1-5-9 hanging
1-5-10 bacon
1-5-11 japanese
1-5-12 griphook
1-5-13 second
1-5-14 persuade
1-5-15 doubt
1-5-16 end-of-term
1-5-17 hestia
1-5-18 arms
1-5-19 kidnap
1-5-20 passwords
1-6-1 quill
1-6-2 theory
1-6-3 even
1-6-4 oldest
1-6-5 hide
1-6-6 creevey
1-6-7 saved
1-6-8 horcruxes
1-6-9 selected
1-6-10 fingers
1-6-11 poison
1-6-12 reasoning
1-6-13 lights
1-6-14 above
1-6-15 beater
1-6-16 new
1-6-17 leviosa
1-6-18 conjure
1-6-19 ever
1-6-20 consisting
1-7-1 reviving
1-7-2 told
1-7-3 simultaneously
1-7-4 screams
1-7-5 reporter
1-7-6 molly
1-7-7 weakness
1-7-8 never
1-7-9 stared
1-7-10 here
1-7-11 fates
1-7-12 breadboard
1-7-13 met
1-7-14 protection
1-7-15 china
1-7-16 second-hand
1-7-17 actions
1-7-18 dorm
1-7-19 path
1-7-20 stares
1-8-1 confronts
1-8-2 growing
1-8-3 celebration
1-8-4 stresses
1-8-5 kids
1-8-6 daughter
1-8-7 credentials
1-8-8 luggage
1-8-9 alchemist
1-8-10 leaves
1-8-11 changed
1-8-12 envoy
1-8-13 completely
1-8-14 reports
1-8-15 ignoring
1-8-16 ottery
1-8-17 mentor
1-8-18 smoke
1-8-19 suitable
1-8-20 changes
1-9-1 punishment
1-9-2 fell
1-9-3 criticism
1-9-4 golden
1-9-5 secure
1-9-6 magically
1-9-7 owed
1-9-8 researched
1-9-9 hatred
1-9-10 explained
1-9-11 angrily
1-9-12 feelings
1-9-13 county
1-9-14 ajar
1-9-15 ridicules
1-9-16 moral
1-9-17 jackets
1-9-18 romantically
1-9-19 counts
1-9-20 removal
1-10-1 disables
1-10-2 borgin
1-10-3 plot
1-10-4 overhear
1-10-5 cheating
1-10-6 would
1-10-7 army
1-10-8 double
1-10-9 remainder
1-10-10 hospital
1-10-11 century
1-10-12 ploy
1-10-13 chooses
1-10-14 privet
1-10-15 insult
1-10-16 occupying
1-10-17 heroically
1-10-18 noting
1-10-19 call
1-10-20 calm
1-11-1 raids
1-11-2 strike
1-11-3 survive
1-11-4 fainting
1-11-5 leaky
1-11-6 until
1-11-7 separated
1-11-8 coupled
1-11-9 supporters
1-11-10 scrimgeour
1-11-11 wary
1-11-12 successful
1-11-13 brings
1-11-14 expose
1-11-15 feared
1-11-16 dormitories
1-11-17 award
1-11-18 hurt
1-11-19 warn
1-11-20 glass
1-12-1 adult
1-12-2 lord
1-12-3 allies
1-12-4 hole
1-12-5 hold
1-12-6 casualties
1-12-7 must
1-12-8 worst
1-12-9 locked
1-12-10 room
1-12-11 shoos
1-12-12 stairs
1-12-13 hideous
1-12-14 work
1-12-15 refusing
1-12-16 roof
1-12-17 regrets
1-12-18 locket
1-12-19 determining
1-12-20 gossiping
1-13-1 reward
1-13-2 plunges
1-13-3 confined
1-13-4 example
1-13-5 piers
1-13-6 protean
1-13-7 inscription
1-13-8 loosen
1-13-9 majority
1-13-10 overhears
1-13-11 wand
1-13-12 give
1-13-13 household
1-13-14 laughs
1-13-15 husband
1-13-16 dragons
1-13-17 gadgets
1-13-18 indicates
1-13-19 overheard
1-13-20 extendable
1-14-1 want
1-14-2 portkeys
1-14-3 wrenched
1-14-4 appearance
1-14-5 caterwauling
1-14-6 times
1-14-7 association
1-14-8 advancing
1-14-9 rescue
1-14-10 ceremony
1-14-11 hog
1-14-12 sought
1-14-13 end
1-14-14 abruptly
1-14-15 scolding
1-14-16 complaining
1-14-17 reconciliation
1-14-18 travel
1-14-19 sitting
1-14-20 intruders
1-15-1 recovers
1-15-2 how
1-15-3 amazing
1-15-4 regaining
1-15-5 listless
1-15-6 boats
1-15-7 alighted
1-15-8 disgrace
1-15-9 fudge
1-15-10 kitchens
1-15-11 badly
1-15-12 mess
1-15-13 reconciled
1-15-14 earlier
1-15-15 damaged
1-15-16 demanding
1-15-17 bombarded
1-15-18 shores
1-15-19 wrong
1-15-20 considers
1-16-1 lay
1-16-2 destined
1-16-3 passageway
1-16-4 outbursts
1-16-5 law
1-16-6 lap
1-16-7 excited
1-16-8 puff
1-16-9 vance
1-16-10 entrusted
1-16-11 attempt
1-16-12 third
1-16-13 converses
1-16-14 bullies
1-16-15 wins
1-16-16 acknowledged
1-16-17 headquarters
1-16-18 fictional
1-16-19 motorbikes
1-16-20 owls
1-17-1 maintain
1-17-2 green
1-17-3 frequent
1-17-4 goodbye
1-17-5 enter
1-17-6 plumbing
1-17-7 diary
1-17-8 stra
1-17-9 overtakes
1-17-10 seamus
1-17-11 order
1-17-12 lockhart
1-17-13 wine
1-17-14 restriction
1-17-15 executed
1-17-16 zacharias
1-17-17 office
1-17-18 curled
1-17-19 sprout
1-17-20 over
1-18-1 expects
1-18-2 branded
1-18-3 hidden
