Live Long and Passphrase 
A Star Trek-inspired Wordlist
This wordlist was created by identifying the unique words in some of the most popular user-created pages at FANDOM's memory-alpha.wikia.com. They are numbered to correspond with three roles of a 20-sided die. 
The list was created by the Electronic Frontier Foundation and maybe freely distributed use under the Creative Commons Attribution 3.0 United States license.
Any trademarks within the word list are the property of their respective trademark holders, who are not affiliated with the Electronic Frontier Foundation and do not sponsor or endorse these passwords.
1-1-1 limited
1-1-2 pardon
1-1-3 assembles
1-1-4 saves
1-1-5 yellow
1-1-6 chaos
1-1-7 four
1-1-8 twelve-hour
1-1-9 protest
1-1-10 sleep
1-1-11 absorbing
1-1-12 undersecretary
1-1-13 captain
1-1-14 hate
1-1-15 transports
1-1-16 poorly
1-1-17 relationships
1-1-18 whose
1-1-19 feeding
1-1-20 suus
1-2-1 violate
1-2-2 granting
1-2-3 electricity
1-2-4 lirpa
1-2-5 self-destruct
1-2-6 mate
1-2-7 forcefield
1-2-8 under
1-2-9 sorry
1-2-10 pride
1-2-11 worth
1-2-12 placed
1-2-13 summarizes
1-2-14 lure
1-2-15 ceramic
1-2-16 shielding
1-2-17 rescue
1-2-18 gasses
1-2-19 rise
1-2-20 eugenics
1-3-1 replication
1-3-2 every
1-3-3 updates
1-3-4 malfunctioned
1-3-5 vastly
1-3-6 stabbed
1-3-7 bringing
1-3-8 encounter
1-3-9 chapel
1-3-10 identity
1-3-11 prize
1-3-12 called
1-3-13 pinch
1-3-14 delegate
1-3-15 straal
1-3-16 heading
1-3-17 clothes
1-3-18 enjoy
1-3-19 force
1-3-20 leaders
1-4-1 tired
1-4-2 warns
1-4-3 estimates
1-4-4 direct
1-4-5 surrounding
1-4-6 likely
1-4-7 persuade
1-4-8 available
1-4-9 tether
1-4-10 kidnap
1-4-11 theory
1-4-12 even
1-4-13 lesser
1-4-14 hide
1-4-15 saved
1-4-16 beaten
1-4-17 poison
1-4-18 reasoning
1-4-19 lights
1-4-20 koon-ut-kal-if-fee
1-5-1 establishes
1-5-2 toll
1-5-3 new
1-5-4 ever
1-5-5 admiral
1-5-6 seeks
1-5-7 told
1-5-8 specialist
1-5-9 kicked
1-5-10 simultaneously
1-5-11 philippa
1-5-12 disobeying
1-5-13 interplanetary
1-5-14 never
1-5-15 here
1-5-16 hundreds
1-5-17 vapors
1-5-18 met
1-5-19 protection
1-5-20 artificially-created
1-6-1 fleet
1-6-2 hers
1-6-3 path
1-6-4 stares
1-6-5 spies
1-6-6 shriek
1-6-7 interpret
1-6-8 referring
1-6-9 dry
1-6-10 voice
1-6-11 daughter
1-6-12 items
1-6-13 leaves
1-6-14 changed
1-6-15 approaches
1-6-16 reports
1-6-17 ignoring
1-6-18 credit
1-6-19 centurion
1-6-20 mentor
1-7-1 transfixed
1-7-2 permit
1-7-3 military
1-7-4 pack
1-7-5 changes
1-7-6 punishment
1-7-7 intruder
1-7-8 secure
1-7-9 neuro-paralyzer
1-7-10 angrily
1-7-11 molor
1-7-12 highly
1-7-13 brought
1-7-14 visible
1-7-15 moral
1-7-16 guests
1-7-17 punching
1-7-18 airiam
1-7-19 glance
1-7-20 total
1-8-1 opponents
1-8-2 plot
1-8-3 overhear
1-8-4 swings
1-8-5 dna
1-8-6 would
1-8-7 double
1-8-8 hospital
1-8-9 arms
1-8-10 noting
1-8-11 overhead
1-8-12 asset
1-8-13 distortions
1-8-14 strike
1-8-15 type
1-8-16 until
1-8-17 tolerated
1-8-18 coffins
1-8-19 relay
1-8-20 relax
1-9-1 successful
1-9-2 brings
1-9-3 expose
1-9-4 warp
1-9-5 aware
1-9-6 warn
1-9-7 torture
1-9-8 frenzy
1-9-9 jpg
1-9-10 smile
1-9-11 robbing
1-9-12 flotilla
1-9-13 hole
1-9-14 hold
1-9-15 supplemental
1-9-16 circumstances
1-9-17 shoot
1-9-18 join
1-9-19 room
1-9-20 rights
1-10-1 sehlat
1-10-2 work
1-10-3 somber
1-10-4 refusing
1-10-5 containment
1-10-6 hansen
1-10-7 example
1-10-8 grimes
1-10-9 corvan
1-10-10 overhears
1-10-11 give
1-10-12 multidimensonal
1-10-13 co-pilot
1-10-14 organized
1-10-15 honey
1-10-16 indicates
1-10-17 orion
1-10-18 caution
1-10-19 want
1-10-20 supernova
1-11-1 shutter
1-11-2 present-day
1-11-3 andoria
1-11-4 advancing
1-11-5 unforgettable
1-11-6 ceremony
1-11-7 sneers
1-11-8 joann
1-11-9 end
1-11-10 recovery
1-11-11 trill
1-11-12 initiate
1-11-13 provide
1-11-14 agony
1-11-15 travel
1-11-16 sitting
1-11-17 damage
1-11-18 machine
1-11-19 how
1-11-20 hot
1-12-1 trusted
1-12-2 answer
1-12-3 yurium
1-12-4 classify
1-12-5 aboard
1-12-6 beauty
1-12-7 barbarians
1-12-8 mess
1-12-9 ladder
1-12-10 after
1-12-11 delicacy
1-12-12 containing
1-12-13 lab
1-12-14 wrong
1-12-15 jumping
1-12-16 induce
1-12-17 president
1-12-18 law
1-12-19 parallel
1-12-20 repeats
1-13-1 attempt
1-13-2 splendid
1-13-3 third
1-13-4 manic
1-13-5 facilitate
1-13-6 attracts
1-13-7 appreciate
1-13-8 lost
1-13-9 fungi
1-13-10 childhood
1-13-11 like
1-13-12 spican
1-13-13 maintain
1-13-14 frequent
1-13-15 enter
1-13-16 aloud
1-13-17 vapor
1-13-18 order
1-13-19 operations
1-13-20 sarcastically
1-14-1 executed
1-14-2 office
1-14-3 deck
1-14-4 dreamed
1-14-5 over
1-14-6 inconclusive
1-14-7 undetected
1-14-8 introduced
1-14-9 exited
1-14-10 before
1-14-11 some
1-14-12 position
1-14-13 fit
1-14-14 somewhere
1-14-15 screaming
1-14-16 fix
1-14-17 blown
1-14-18 crew
1-14-19 destroyed
1-14-20 tilts
1-15-1 production
1-15-2 vast
1-15-3 weeks
1-15-4 easier
1-15-5 confidently
1-15-6 descend
1-15-7 then
1-15-8 them
1-15-9 iowa
1-15-10 diseases
1-15-11 combination
1-15-12 planetoid
1-15-13 prevented
1-15-14 yells
1-15-15 safe
1-15-16 collide
1-15-17 break
1-15-18 band
1-15-19 roommate
1-15-20 therapy
1-16-1 effects
1-16-2 they
1-16-3 galaxy
