The Passphrase Is Strong With This One
A Star Wars-inspired Wordlist
This wordlist was created by identifying the unique words in some of the most popular user-created pages at FANDOM's starwars.wikia.com. They are numbered to correspond with three roles of a 20-sided die. 
The list was created by the Electronic Frontier Foundation and maybe freely distributed use under the Creative Commons Attribution 3.0 United States license.
Any trademarks within the word list are the property of their respective trademark holders, who are not affiliated with the Electronic Frontier Foundation and do not sponsor or endorse these passwords.
1-1-1 aided
1-1-2 child
1-1-3 foul
1-1-4 four
1-1-5 woods
1-1-6 sleep
1-1-7 hanging
1-1-8 captain
1-1-9 saved
1-1-10 bestowing
1-1-11 demotes
1-1-12 disobeying
1-1-13 opulence
1-1-14 uscru
1-1-15 presents
1-1-16 fingernails
1-1-17 bike
1-1-18 under
1-1-19 lord
1-1-20 pride
1-2-1 speeder
1-2-2 lure
1-2-3 lack
1-2-4 rescue
1-2-5 wroshyr
1-2-6 blanket
1-2-7 rise
1-2-8 every
1-2-9 yellow
1-2-10 blasters
1-2-11 gunray
1-2-12 vasp
1-2-13 month
1-2-14 bringing
1-2-15 encounter
1-2-16 starships
1-2-17 doubts
1-2-18 jacket
1-2-19 disfiguring
1-2-20 skills
1-3-1 cause
1-3-2 satchel
1-3-3 magnaguard
1-3-4 red
1-3-5 relics
1-3-6 sub-chamber
1-3-7 inaction
1-3-8 stuns
1-3-9 commented
1-3-10 plaza
1-3-11 parted
1-3-12 irises
1-3-13 force
1-3-14 leaders
1-3-15 corvette
1-3-16 warns
1-3-17 fit
1-3-18 direct
1-3-19 surrounding
1-3-20 second
1-4-1 persuade
1-4-2 charted
1-4-3 haako
1-4-4 rigorous
1-4-5 available
1-4-6 levitate
1-4-7 janson
1-4-8 monster
1-4-9 even
1-4-10 lesser
1-4-11 solemn
1-4-12 galen
1-4-13 beaten
1-4-14 while
1-4-15 liberty
1-4-16 lights
1-4-17 dangles
1-4-18 above
1-4-19 toll
1-4-20 new
1-5-1 net
1-5-2 ever
1-5-3 admiral
1-5-4 seeks
1-5-5 told
1-5-6 million
1-5-7 simultaneously
1-5-8 screams
1-5-9 whose
1-5-10 men
1-5-11 retrieval
1-5-12 hundreds
1-5-13 met
1-5-14 protection
1-5-15 plutt
1-5-16 pursuit
1-5-17 chewbacca
1-5-18 path
1-5-19 stares
1-5-20 meditates
1-6-1 mccallum
1-6-2 celebration
1-6-3 obtained
1-6-4 property
1-6-5 daughter
1-6-6 mechanic
1-6-7 hideously
1-6-8 leaves
1-6-9 settles
1-6-10 groveling
1-6-11 piercing
1-6-12 reports
1-6-13 ignoring
1-6-14 calculations
1-6-15 smoke
1-6-16 bunker
1-6-17 confides
1-6-18 high-security
1-6-19 hyperfuel
1-6-20 secura
1-7-1 secure
1-7-2 slicer
1-7-3 slices
1-7-4 implode
1-7-5 angrily
1-7-6 charred
1-7-7 feelings
1-7-8 brought
1-7-9 patience
1-7-10 moral
1-7-11 guests
1-7-12 padawan
1-7-13 actions
1-7-14 unit
1-7-15 plot
1-7-16 criminals
1-7-17 would
1-7-18 army
1-7-19 dispatches
1-7-20 achieve
1-8-1 arms
1-8-2 princess
1-8-3 leaks
1-8-4 noting
1-8-5 music
1-8-6 lightsaber
1-8-7 strike
1-8-8 indiana
1-8-9 until
1-8-10 slaughtered
1-8-11 breathe
1-8-12 tolerated
1-8-13 involvement
1-8-14 saber
1-8-15 wary
1-8-16 clearly
1-8-17 brings
1-8-18 expose
1-8-19 wars
1-8-20 aware
1-9-1 warn
1-9-2 binary
1-9-3 adult
1-9-4 breaths
1-9-5 separates
1-9-6 allies
1-9-7 midst
1-9-8 hold
1-9-9 casualties
1-9-10 must
1-9-11 shoot
1-9-12 rook
1-9-13 join
1-9-14 room
1-9-15 darklighter
1-9-16 shame
1-9-17 pursue
1-9-18 work
1-9-19 refusing
1-9-20 movies
1-10-1 itself
1-10-2 temperatures
1-10-3 separatists
1-10-4 latches
1-10-5 guise
1-10-6 endor
1-10-7 salvage
1-10-8 example
1-10-9 fortress
1-10-10 chancellor
1-10-11 ingenuity
1-10-12 flung
1-10-13 laughs
1-10-14 exile
1-10-15 caution
1-10-16 want
1-10-17 vulnerability
1-10-18 times
1-10-19 overpowered
1-10-20 ceremony
1-11-1 end
1-11-2 stand-off
1-11-3 x-wing
1-11-4 generals
1-11-5 provide
1-11-6 agony
1-11-7 travel
1-11-8 sitting
1-11-9 damage
1-11-10 recovers
1-11-11 how
1-11-12 force-sensitive
1-11-13 polis
1-11-14 gate
1-11-15 nute
1-11-16 truthful
1-11-17 massive
1-11-18 badly
1-11-19 pokes
1-11-20 beauty
1-12-1 after
1-12-2 containing
1-12-3 jumping
1-12-4 destined
1-12-5 cement
1-12-6 repeats
1-12-7 attempt
1-12-8 third
1-12-9 thire
1-12-10 maximillian
1-12-11 wins
1-12-12 grant
1-12-13 acknowledged
1-12-14 descends
1-12-15 alias
1-12-16 scout
1-12-17 upside
1-12-18 ultimate
1-12-19 goodbye
1-12-20 enter
1-13-1 worst
1-13-2 overtakes
1-13-3 order
1-13-4 thirty
1-13-5 senators
1-13-6 office
1-13-7 deck
1-13-8 welcomed
1-13-9 wound
1-13-10 over
1-13-11 fall
1-13-12 expects
1-13-13 oolin
1-13-14 jinn
1-13-15 foodstuff
1-13-16 zev
1-13-17 detonators
1-13-18 strangle
1-13-19 talkative
1-13-20 bouhlel
1-14-1 survives
1-14-2 before
1-14-3 wickedly
1-14-4 destroyer
1-14-5 reflection
1-14-6 personal
1-14-7 screaming
1-14-8 fix
1-14-9 fleeing
1-14-10 gerrera
1-14-11 crew
1-14-12 destroyed
1-14-13 production
1-14-14 hidden
1-14-15 oola
1-14-16 overcome
1-14-17 snoke
1-14-18 trials
1-14-19 eventually
1-14-20 them
1-15-1 grievous
1-15-2 babies
1-15-3 powerful
1-15-4 at-act
1-15-5 safe
1-15-6 recruit
1-15-7 break
1-15-8 band
1-15-9 sack
1-15-10 they
1-15-11 undeveloped
1-15-12 bank
1-15-13 structural
1-15-14 shadows
1-15-15 demotion
1-15-16 cackling
1-15-17 notified
1-15-18 arrested
1-15-19 explode
1-15-20 sidi
1-16-1 frantically
1-16-2 victories
1-16-3 victory
1-16-4 embankment
1-16-5 each
1-16-6 went
1-16-7 loyalties
1-16-8 operatives
1-16-9 side
1-16-10 notifies
1-16-11 erso
1-16-12 hanger
1-16-13 independent
1-16-14 series
1-16-15 train
1-16-16 impede
1-16-17 husband
1-16-18 solution
1-16-19 used
1-16-20 trading
1-17-1 magnets
1-17-2 stealing
1-17-3 navy
1-17-4 aids
1-17-5 dawn
1-17-6 extract
1-17-7 saturday
1-17-8 large
1-17-9 network
1-17-10 driving
1-17-11 god
1-17-12 tried
1-17-13 vessels
1-17-14 content
1-17-15 laid
1-17-16 fiery
1-17-17 millennium
1-17-18 assignment
1-17-19 got
1-17-20 outburst
1-18-1 assaults
1-18-2 written
1-18-3 hang
1-18-4 threatened
1-18-5 revenge
1-18-6 free
1-18-7 standard
1-18-8 admits
1-18-9 assures
1-18-10 techno
1-18-11 formation
1-18-12 struggle
1-18-13 forcibly
1-18-14 sensors
1-18-15 greeted
1-18-16 midi-chlorians
1-18-17 wrath
1-18-18 ticket
1-18-19 staggers
1-18-20 district
1-19-1 writhing
1-19-2 starts
1-19-3 zuckuss
1-19-4 days
1-19-5 heading
1-19-6 creates
1-19-7 deems
1-19-8 signature
1-19-9 kingdom
1-19-10 arrived
1-19-11 onto
1-19-12 tactics
1-19-13 speeds
1-19-14 teedo
1-19-15 enraged
1-19-16 already
1-19-17 reconnected
1-19-18 playfully
1-19-19 reassure
1-19-20 primary
1-20-1 walkers
1-20-2 detonator
1-20-3 y-wing
1-20-4 another
1-20-5 tangle
1-20-6 antilles
1-20-7 lorth
1-20-8 activities
1-20-9 rejects
1-20-10 top
1-20-11 dumbfounded
1-20-12 tow
1-20-13 approximately
1-20-14 needed
1-20-15 master
1-20-16 too
1-20-17 percentage
1-20-18 legs
1-20-19 bitter
1-20-20 listen
2-1-1 deflects
2-1-2 ceiling
2-1-3 murder
2-1-4 escort
2-1-5 realization
2-1-6 serve
2-1-7 prosthetic
2-1-8 wisdom
2-1-9 compressor
2-1-10 task
2-1-11 mutilated
2-1-12 evil
2-1-13 abandoning
2-1-14 crawl
2-1-15 lucas
2-1-16 begins
2-1-17 distance
2-1-18 target
2-1-19 showed
2-1-20 tree
2-2-1 scenes
2-2-2 reconstructing
2-2-3 knights
2-2-4 feeling
2-2-5 rear-guard
2-2-6 hologram
2-2-7 bridge
2-2-8 failing
2-2-9 sees
2-2-10 younglings
2-2-11 palace
2-2-12 approaching
2-2-13 mind
2-2-14 mining
2-2-15 untrained
2-2-16 talking
2-2-17 manner
2-2-18 emphasizing
2-2-19 seen
2-2-20 subjects
2-3-1 picks
2-3-2 seek
2-3-3 tells
2-3-4 ray
2-3-5 forced
2-3-6 strength
2-3-7 commences
2-3-8 reminding
2-3-9 latter
2-3-10 responsible
2-3-11 snow
2-3-12 metallic
2-3-13 chest
2-3-14 causing
2-3-15 instructs
2-3-16 confronted
2-3-17 forces
2-3-18 hatch
2-3-19 transmit
2-3-20 trough
2-4-1 wide-awake
2-4-2 blue
2-4-3 incapable
2-4-4 halik
2-4-5 though
2-4-6 deploys
2-4-7 junkers
2-4-8 effective
2-4-9 translator
2-4-10 apologizes
2-4-11 mouth
2-4-12 commanding
2-4-13 phase
2-4-14 explosives
2-4-15 hut
2-4-16 episode
2-4-17 medical
2-4-18 scavenging
2-4-19 crowd
2-4-20 stating
2-5-1 swamp
2-5-2 parsecs
2-5-3 aunt
2-5-4 fugitives
2-5-5 deeply
2-5-6 profundity
2-5-7 hosnian
2-5-8 scream
2-5-9 incomplete
2-5-10 saying
2-5-11 reactor
2-5-12 contacted
2-5-13 confront
2-5-14 saga
2-5-15 imploder
2-5-16 probe
2-5-17 ending
2-5-18 attempts
2-5-19 showing
2-5-20 rampages
2-6-1 nephew
2-6-2 tempted
2-6-3 bail
2-6-4 lessons
2-6-5 witnesses
2-6-6 finally
2-6-7 consciousness
2-6-8 explain
2-6-9 debts
2-6-10 remonstrates
2-6-11 rick
2-6-12 disgust
2-6-13 pursuing
2-6-14 foolishly
2-6-15 announce
2-6-16 wearing
2-6-17 coerced
2-6-18 beheads
2-6-19 criticizes
2-6-20 watch
2-7-1 tuanul
2-7-2 despite
2-7-3 report
2-7-4 knocks
2-7-5 interrogated
2-7-6 wobani
2-7-7 databank
2-7-8 cleanly
2-7-9 runs
2-7-10 traverses
2-7-11 palpatine
2-7-12 bay
2-7-13 illegitimate
2-7-14 bad
2-7-15 rune
2-7-16 chides
2-7-17 shots
2-7-18 release
2-7-19 complimenting
2-7-20 squadron
2-8-1 steal
2-8-2 varactyl
2-8-3 thanks
2-8-4 khetanna
2-8-5 penance
2-8-6 decides
2-8-7 disaster
2-8-8 reference
2-8-9 diminutive
2-8-10 reprogrammed
2-8-11 testing
2-8-12 proclaims
2-8-13 detection
2-8-14 checks
2-8-15 decided
2-8-16 result
2-8-17 fail
2-8-18 ferocious
2-8-19 news
2-8-20 sinks
2-9-1 said
2-9-2 draws
2-9-3 hever
2-9-4 apprehending
2-9-5 leavesden
2-9-6 away
2-9-7 sail
2-9-8 tiin
2-9-9 unable
2-9-10 discovers
2-9-11 hopefully
2-9-12 non-conformity
2-9-13 previous
2-9-14 approach
2-9-15 shields
2-9-16 warrior
2-9-17 never
2-9-18 perceived
2-9-19 wanted
2-9-20 vows
2-10-1 blaster
2-10-2 confusion
2-10-3 weak
2-10-4 however
2-10-5 devour
2-10-6 blagg
2-10-7 dismembered
2-10-8 defiance
2-10-9 carbon
2-10-10 debt
2-10-11 electing
2-10-12 faced
2-10-13 maneuvers
2-10-14 protect
2-10-15 sacrificing
2-10-16 reported
2-10-17 lovey
2-10-18 disarms
2-10-19 tracks
2-10-20 against
2-11-1 negative
2-11-2 planned
2-11-3 receives
2-11-4 studio
2-11-5 requests
2-11-6 adapted
2-11-7 peacefully
2-11-8 cato
2-11-9 presumably
2-11-10 royal
2-11-11 vain
2-11-12 hardworking
2-11-13 humanoid
2-11-14 canyon
2-11-15 smuggler
2-11-16 aftermath
2-11-17 surname
2-11-18 trust
2-11-19 apprehended
2-11-20 san
2-12-1 conference
2-12-2 bloodthirsty
2-12-3 asks
2-12-4 bespin
2-12-5 union
2-12-6 trapdoor
2-12-7 condemned
2-12-8 three
2-12-9 been
2-12-10 quickly
2-12-11 extraction
2-12-12 much
2-12-13 interest
2-12-14 basic
2-12-15 captives
2-12-16 entered
2-12-17 counterattack
2-12-18 life
2-12-19 deeper
2-12-20 attacked
2-13-1 tythoni
2-13-2 concerning
2-13-3 orson
2-13-4 shattering
2-13-5 craft
2-13-6 hoist
2-13-7 corruption
2-13-8 personally
2-13-9 catch
2-13-10 comfortable
2-13-11 spin
2-13-12 partisans
2-13-13 battling
2-13-14 explicitly
2-13-15 force-choking
2-13-16 has
2-13-17 tank
2-13-18 contemplated
2-13-19 launches
2-13-20 outnumbered
2-14-1 air
2-14-2 aim
2-14-3 near
2-14-4 entertains
2-14-5 stopping
2-14-6 aid
2-14-7 voice
2-14-8 concludes
2-14-9 study
2-14-10 mistake
2-14-11 remembering
2-14-12 changed
2-14-13 project
2-14-14 kanjiklub
2-14-15 defeated
2-14-16 separatist
2-14-17 exchanging
2-14-18 overpowers
2-14-19 exterior
2-14-20 hyperdrive
2-15-1 victims
2-15-2 hone
2-15-3 damaged
2-15-4 descent
2-15-5 counter-attacked
2-15-6 profiteers
2-15-7 perform
2-15-8 things
2-15-9 make
2-15-10 foursome
2-15-11 rebellion
2-15-12 beside
2-15-13 u-wing
2-15-14 complex
2-15-15 patient
2-15-16 belly
2-15-17 unfortunate
2-15-18 avoids
2-15-19 plates
2-15-20 several
2-16-1 confronting
2-16-2 grows
2-16-3 entitled
2-16-4 wheel
2-16-5 meets
2-16-6 spying
2-16-7 advocate
2-16-8 raid
2-16-9 declaring
2-16-10 sullust
2-16-11 torpedoes
2-16-12 rain
2-16-13 hand
2-16-14 consents
2-16-15 waterfall
2-16-16 military
2-16-17 selfless
2-16-18 opportunity
2-16-19 mentioning
2-16-20 shortly
2-17-1 recently-built
2-17-2 kylo
2-17-3 thirty-four
2-17-4 test-firing
2-17-5 suffering
2-17-6 compartments
2-17-7 tarfful
2-17-8 contact
2-17-9 greatest
2-17-10 detained
2-17-11 spearheading
2-17-12 claims
2-17-13 the
2-17-14 corporate
2-17-15 musical
2-17-16 left
2-17-17 assembling
2-17-18 protocol
2-17-19 birth
2-17-20 just
2-18-1 neimoidian
2-18-2 at-sts
2-18-3 starting
2-18-4 assigned
2-18-5 disguise
2-18-6 fighters
2-18-7 identify
2-18-8 farther
2-18-9 human
2-18-10 followed
2-18-11 rupturing
2-18-12 yet
2-18-13 impending
2-18-14 projection
2-18-15 enters
2-18-16 han
2-18-17 legion
2-18-18 agile
2-18-19 mobility
2-18-20 had
2-19-1 insubordination
2-19-2 seem
2-19-3 succumb
2-19-4 counters
2-19-5 animation
2-19-6 re-activate
2-19-7 board
2-19-8 beloved
2-19-9 prison
2-19-10 pitiful
2-19-11 save
2-19-12 expelled
2-19-13 gave
2-19-14 desire
2-19-15 casting
2-19-16 salacious
2-19-17 casually
2-19-18 involuntary
2-19-19 breaks
2-19-20 possible
2-20-1 inflicting
2-20-2 objective
2-20-3 barge
2-20-4 wanting
2-20-5 lynne
2-20-6 advanced
2-20-7 apart
2-20-8 scavenger
2-20-9 appearing
2-20-10 visible
2-20-11 performing
2-20-12 shocks
2-20-13 steps
2-20-14 officer
2-20-15 night
2-20-16 jyn
2-20-17 notorious
2-20-18 security
2-20-19 oncoming
2-20-20 right
3-1-1 old
3-1-2 lashes
3-1-3 people
3-1-4 sends
3-1-5 successfully
3-1-6 dead
3-1-7 curio
3-1-8 captive
3-1-9 callsign
3-1-10 stardust
3-1-11 escape
3-1-12 dear
3-1-13 stealthily
3-1-14 library
3-1-15 enemies
3-1-16 denies
3-1-17 padawans
3-1-18 proceeding
3-1-19 for
3-1-20 deflector
3-2-1 armed
3-2-2 companions
3-2-3 fox
3-2-4 ice
3-2-5 everything
3-2-6 asking
3-2-7 landscape
3-2-8 summoned
3-2-9 denied
3-2-10 wookiees
3-2-11 core
3-2-12 rank
3-2-13 peel
3-2-14 deleted
3-2-15 brawl
3-2-16 payment
3-2-17 burn
3-2-18 disappeared
3-2-19 binder
3-2-20 libertine
3-3-1 bolt
3-3-2 defensive
3-3-3 losing
3-3-4 memorable
3-3-5 super
3-3-6 shaken
3-3-7 trophy
3-3-8 tekka
3-3-9 attacks
3-3-10 antagonizing
3-3-11 citizens
3-3-12 accepts
3-3-13 choke
3-3-14 plunging
3-3-15 despair
3-3-16 threepio
3-3-17 afternoon
3-3-18 horizon
3-3-19 islands
3-3-20 efforts
3-4-1 stables
3-4-2 balbianello
3-4-3 raised
3-4-4 lied
3-4-5 undergo
3-4-6 civil
3-4-7 exhausts
3-4-8 prisoners
3-4-9 float
3-4-10 delighted
3-4-11 appoints
3-4-12 son
3-4-13 down
3-4-14 prisoner
3-4-15 back-to-back
3-4-16 armada
3-4-17 schematics
3-4-18 refined
3-4-19 insult
3-4-20 frightened
3-5-1 travels
3-5-2 annoyance
3-5-3 deception
3-5-4 deal
3-5-5 support
3-5-6 flying
3-5-7 caserta
3-5-8 presumptuousness
3-5-9 sunlight
3-5-10 fight
3-5-11 avail
3-5-12 absolutely
3-5-13 fought
3-5-14 way
3-5-15 call
3-5-16 factions
3-5-17 was
3-5-18 war
3-5-19 launching
3-5-20 therefore
3-6-1 beru
3-6-2 head
3-6-3 form
3-6-4 offer
3-6-5 becoming
3-6-6 fireworks
3-6-7 removes
3-6-8 landing
3-6-9 remarking
3-6-10 failure
3-6-11 uncle
3-6-12 catalyst
3-6-13 solar
3-6-14 survive
3-6-15 japor
3-6-16 true
3-6-17 bypassing
3-6-18 counsel
3-6-19 portions
3-6-20 eject
3-7-1 overrules
3-7-2 droids
3-7-3 prevents
3-7-4 inside
3-7-5 attached
3-7-6 bargain
3-7-7 smashes
3-7-8 considered
3-7-9 alienating
3-7-10 torturing
3-7-11 faking
3-7-12 emotional
3-7-13 attaches
3-7-14 temper
3-7-15 hurriedly
3-7-16 mystical
3-7-17 promises
3-7-18 proud
3-7-19 cliffside
3-7-20 fury
3-8-1 guidance
3-8-2 texts
3-8-3 covers
3-8-4 evidence
3-8-5 proves
3-8-6 held
3-8-7 curious
3-8-8 ship
3-8-9 regime
3-8-10 engines
3-8-11 lungs
3-8-12 dying
3-8-13 floor
3-8-14 whereas
3-8-15 alerts
3-8-16 tossing
3-8-17 vanishes
3-8-18 half-witted
3-8-19 successful
3-8-20 beheading
3-9-1 setting
3-9-2 republic
3-9-3 holding
3-9-4 digital
3-9-5 test
3-9-6 tie
3-9-7 vanished
3-9-8 realize
3-9-9 re-evaluated
3-9-10 dies
3-9-11 mechanical
3-9-12 fiercely
3-9-13 extras
3-9-14 re-evaluates
3-9-15 fell
3-9-16 intent
3-9-17 businessman
3-9-18 hurt
3-9-19 explosions
3-9-20 jones
3-10-1 grief
3-10-2 younger
3-10-3 longer
3-10-4 apology
3-10-5 bottom
3-10-6 yacht
3-10-7 together
3-10-8 collared
3-10-9 rough
3-10-10 stripping
3-10-11 time
3-10-12 push
3-10-13 carbon-freezing
3-10-14 scruffy-looking
3-10-15 profits
3-10-16 overdue
3-10-17 swordsmaster
3-10-18 cares
3-10-19 discreetly
3-10-20 chain
3-11-1 leads
3-11-2 theaters
3-11-3 manages
3-11-4 grateful
3-11-5 battle
3-11-6 convoy
3-11-7 chair
3-11-8 activates
3-11-9 disobeys
3-11-10 hole
3-11-11 row
3-11-12 ballet
3-11-13 suicide
3-11-14 praises
3-11-15 zone
3-11-16 filming
3-11-17 saleucami
3-11-18 technique
3-11-19 father
3-11-20 passage
3-12-1 charge
3-12-2 praised
3-12-3 permanently
3-12-4 swoop
3-12-5 discovering
3-12-6 suffered
3-12-7 crystals
3-12-8 retreat
3-12-9 jogged
3-12-10 advises
3-12-11 rage-fueled
3-12-12 federation
3-12-13 sarlacc
3-12-14 hugging
3-12-15 keeping
3-12-16 choice
3-12-17 liability
3-12-18 mourn
3-12-19 tanks
3-12-20 stays
3-13-1 locked
3-13-2 blast
3-13-3 stormtroopers
3-13-4 evaded
3-13-5 plagueis
3-13-6 presented
3-13-7 did
3-13-8 die
3-13-9 accidentally
3-13-10 leave
3-13-11 solved
3-13-12 evades
3-13-13 goazon
3-13-14 team
3-13-15 quick
3-13-16 teaching
3-13-17 ealing
3-13-18 unaware
3-13-19 foe
3-13-20 prevent
3-14-1 droid
3-14-2 says
3-14-3 fearing
3-14-4 insignificant
3-14-5 guides
3-14-6 bravo
3-14-7 discover
3-14-8 sign
3-14-9 detonates
3-14-10 slake
3-14-11 bombardment
3-14-12 slowen
3-14-13 run
3-14-14 helpless
3-14-15 coaxium
3-14-16 yoda
3-14-17 drinks
3-14-18 jerjerrod
3-14-19 ditches
3-14-20 niima
3-15-1 adds
